kepler_id,flare_peak_BJD,This work,,,,,Okamoto et al. (2021),,,,
,,Teff,Radius,P_rot,Duration,Energy,Teff,Radius,P_rot,Duration,Energy
7772296,55368.02,5636,1.119,11,0.06,2.71E+34,5616,0.897,23.257,0.06,9.20E+33
8285970,55098.21,5638,0.933,0.5,0.08,2.65E+34,5639,1.142,0.566,0.08,2.50E+34
8285970,55148.82,5638,0.933,0.5,0.06,1.96E+34,5639,1.142,0.566,0.06,1.20E+34
8285970,55361.07,5638,0.933,0.5,0.08,6.95E+34,5639,1.142,0.566,0.06,4.30E+34
8285970,55505.96,5638,0.933,0.5,0.06,4.49E+34,5639,1.142,0.566,0.08,2.10E+34
8285970,55626.91,5638,0.933,0.5,0.10,3.87E+34,5639,1.142,0.566,0.08,2.40E+34
8285970,55675.29,5638,0.933,0.5,0.14,5.15E+34,5639,1.142,0.566,0.1,3.40E+34
8285970,55680.69,5638,0.933,0.5,0.08,2.89E+34,5639,1.142,0.566,0.1,3.70E+34
8285970,55915.47,5638,0.933,0.5,0.16,6.54E+34,5639,1.142,0.566,0.1,3.00E+34
8285970,56083.64,5638,0.933,0.5,0.08,5.91E+34,5639,1.142,0.566,0.08,2.20E+34
8285970,56264.78,5638,0.933,0.5,0.10,1.07E+35,5639,1.142,0.566,0.12,4.00E+34
8285970,56359.90,5638,0.933,0.5,0.08,2.65E+34,5639,1.142,0.566,0.08,2.20E+34
8416788,55356.98,5884,1.126,11,0.06,1.84E+34,5889,0.908,22.519,0.06,5.80E+33
8416788,55520.35,5884,1.126,11,0.06,2.81E+34,5889,0.908,22.519,0.06,6.40E+33
8416788,55772.40,5884,1.126,11,0.06,3.02E+34,5889,0.908,22.519,0.08,1.60E+34
8621939,55065.97,5945,0.978,4,0.06,1.16E+34,5945,0.952,4.451,0.06,8.30E+33
8621939,55580.68,5945,0.978,4,0.06,1.05E+34,5945,0.952,4.451,0.08,4.80E+33
8621939,55598.36,5945,0.978,4,0.06,1.05E+34,5945,0.952,4.451,0.23,4.60E+33
8621939,55649.73,5945,0.978,4,0.06,1.36E+34,5945,0.952,4.451,0.12,6.70E+33
8621939,55694.81,5945,0.978,4,0.08,1.87E+34,5945,0.952,4.451,0.1,1.60E+34
8621939,55812.00,5945,0.978,4,0.14,3.55E+34,5945,0.952,4.451,0.17,1.40E+34
8653039,56142.74,5457,0.96,8,0.08,3.03E+34,5446,0.867,8.848,0.06,1.30E+34
8694559,56394.00,5473,1.061,31.79,0.06,2.25E+34,5474,0.831,31.79,0.06,9.20E+33
9030812,56008.83,5423,0.976,11,0.06,5.91E+34,5421,0.776,11.839,0.08,3.80E+34
9141747,55495.95,5696,0.966,18.12,0.06,3.68E+34,5694,0.769,18.12,0.06,1.60E+34
9141747,55732.92,5696,0.966,18.12,0.06,4.69E+34,5694,0.769,18.12,0.06,1.30E+34
9290677,56350.83,5989,0.949,7,0.06,1.64E+34,5983,0.92,14.355,0.06,6.90E+33
9410906,55592.64,5910,0.916,0.5,0.06,1.12E+35,5911,1.524,0.246,0.06,1.90E+35
9549300,55035.36,5470,0.97,5,0.06,2.82E+34,5471,0.921,10.329,0.06,1.20E+34
9716645,55418.69,5837,0.921,1,0.12,2.13E+35,5834,0.961,1.367,0.25,2.70E+35
9716645,55423.62,5837,0.921,1,0.06,1.08E+35,5834,0.961,1.367,0.08,6.10E+34
9716645,55540.33,5837,0.921,1,0.06,8.05E+34,5834,0.961,1.367,0.08,1.10E+35
9716645,55689.80,5837,0.921,1,0.06,1.23E+35,5834,0.961,1.367,0.08,6.10E+34
9716645,55714.47,5837,0.921,1,0.10,1.87E+35,5834,0.961,1.367,0.1,1.10E+35
9716645,55773.40,5837,0.921,1,0.10,2.71E+35,5834,0.961,1.367,0.15,3.00E+35
9716645,55786.33,5837,0.921,1,0.06,1.06E+35,5834,0.961,1.367,0.06,5.70E+34
9716645,55798.80,5837,0.921,1,0.08,2.68E+35,5834,0.961,1.367,0.08,1.10E+35
9716645,55979.88,5837,0.921,1,0.12,4.00E+35,5834,0.961,1.367,0.21,2.40E+35
9716645,56025.83,5837,0.921,1,0.14,4.96E+35,5834,0.961,1.367,0.19,2.30E+35
