kepler_id,quarter,flare_start_time,flare_end_time,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD,Prot source
11469178,13,1201.311211,1201.372513,1201.331645,1.53E+34,FALSE,5458,0.983,4.378,12,0.001620844,0.0613024,56034.31121,56034.37251,56034.33164,This work
11469178,17,1580.43638,1580.497683,1580.456814,2.07E+34,FALSE,5458,0.983,4.378,12,0.001245194,0.061302568,56413.43638,56413.49768,56413.45681,This work
11469178,13,1269.602637,1269.684374,1269.623071,2.17E+34,FALSE,5458,0.983,4.378,12,0.001962254,0.081737217,56102.60264,56102.68437,56102.62307,This work
11469178,13,1209.913998,1209.995735,1209.954867,2.18E+34,FALSE,5458,0.983,4.378,12,0.003801356,0.081736815,56042.914,56042.99574,56042.95487,This work
11469178,13,1224.197543,1224.299714,1224.217977,2.45E+34,FALSE,5458,0.983,4.378,12,0.006802079,0.102171353,56057.19754,56057.29971,56057.21798,This work
11501774,11,1078.138171,1078.19947,1078.158604,1.40E+34,FALSE,5226,0.962,4.404,15,0.00407866,0.061298913,55911.13817,55911.19947,55911.1586,This work
11501774,16,1498.149797,1498.211097,1498.17023,2.27E+34,FALSE,5226,0.962,4.404,15,0.005754057,0.061300246,56331.1498,56331.2111,56331.17023,This work
11502491,17,1561.208421,1561.269724,1561.228856,2.08E+34,FALSE,5776,0.95,4.512,NA,0.003810546,0.061302398,56394.20842,56394.26972,56394.22886,NA
11506830,12,1122.539432,1122.600732,1122.559865,3.17E+35,FALSE,5780,1,4.438,NA,0.017358928,0.061299938,55955.53943,55955.60073,55955.55987,NA
11507666,16,1493.777054,1493.838354,1493.797487,1.18E+34,FALSE,5745,0.924,4.473,1,0.002283435,0.061299869,56326.77705,56326.83835,56326.79749,This work
11507666,2,241.8346722,241.8959722,241.8551056,2.65E+34,FALSE,5745,0.924,4.473,1,0.0026,0.06130007,55074.83467,55074.89597,55074.85511,This work
11508446,10,954.8039341,954.8652352,954.8243678,7.05E+34,FALSE,5706,0.926,4.525,0.5,0.006395288,0.061301117,55787.80393,55787.86524,55787.82437,This work
11512425,3,294.2457395,294.3070383,294.2661725,6.27E+34,FALSE,5947,0.942,4.495,13,0.0073,0.061298735,55127.24574,55127.30704,55127.26617,This work
11512949,7,647.2571725,647.3184717,647.2776055,5.05E+34,FALSE,5917,1,4.475,22.735,0.005477037,0.061299221,55480.25717,55480.31847,55480.27761,McQuillan et al.(2014)
11512949,3,269.9304941,269.9917934,269.9509273,5.89E+34,FALSE,5917,1,4.475,22.735,0.0086,0.061299283,55102.93049,55102.99179,55102.95093,McQuillan et al.(2014)
11517268,4,403.4603588,403.5216594,403.4807923,8.13E+34,FALSE,5778,0.911,4.531,10,0.02,0.061300553,55236.46036,55236.52166,55236.48079,This work
11518445,15,1462.84148,1462.902779,1462.861913,6.48E+34,FALSE,5964,1.105,4.419,0.5,0.011239773,0.0612987,56295.84148,56295.90278,56295.86191,This work
11521678,10,958.2164602,958.2981954,958.236894,3.64E+34,FALSE,5362,0.912,4.444,0.5,0.009977045,0.081735142,55791.21646,55791.2982,55791.23689,This work
11549391,13,1237.909719,1237.971021,1237.930153,5.13E+35,FALSE,5993,0.986,4.489,NA,0.072914747,0.061302704,56070.90972,56070.97102,56070.93015,NA
11551293,11,1026.15673,1026.218029,1026.177163,3.22E+34,FALSE,5935,1.067,4.449,10,0.004069148,0.061298914,55859.15673,55859.21803,55859.17716,This work
