kepler_id,RA,Dec,Teff,logg,Radius,Prot
10416779,296.37357,47.517879,7751,3.889,2.607,
10417022,296.44342,47.50782,9143,4.041,2.37,
10417135,296.47787,47.554729,8615,3.784,3.003,
10417704,296.65329,47.515259,8275,4.199,1.818,
10418769,296.95142,47.557362,8245,4.055,2.168,
10422241,297.91199,47.584099,8037,4.132,1.917,
10425615,298.82654,47.51104,7687,3.713,3.409,
10427685,299.41556,47.550079,7709,4.089,1.98,
10448764,281.05173,47.675289,7615,4.007,2.143,
10451090,282.48297,47.637321,7640,3.741,3.257,
10462980,288.74411,47.690659,7700,3.96,2.28,
10467815,290.81604,47.682892,9030,3.822,3.218,
10467969,290.88531,47.67461,9067,4.08,2.232,
10468794,291.23767,47.613739,9649,4.058,2.399,
10469984,291.73135,47.639351,7737,3.415,4.288,
10471914,292.51257,47.605179,7511,4,2.034,
10472431,292.73352,47.60247,9157,3.905,2.877,
10482774,296.42242,47.667122,7530,4.08,1.93,
10483230,296.56445,47.660469,7728,3.933,2.356,
10483436,296.6217,47.630562,7602,4.155,1.829,
10483888,296.75168,47.699612,9495,4.166,2.043,
10484808,297.01913,47.679169,8402,3.93,2.627,
10484817,297.02292,47.639851,8584,3.962,2.541,
10485961,297.34961,47.62986,7547,4.055,2.004,
10487861,297.88483,47.648312,8443,4.103,2.059,
10489265,298.27762,47.6161,7956,3.843,2.743,
10489286,298.28311,47.696941,8572,3.776,3.034,
10489311,298.29324,47.613789,8791,4.111,2.174,
10489783,298.43069,47.613628,7861,3.684,3.487,
10490234,298.55844,47.63493,7948,3.711,3.322,
10491123,298.79611,47.634682,8982,4.111,2.123,
10516986,282.92725,47.78075,9734,3.717,3.935,
10522423,285.86987,47.78841,7783,3.861,2.7,
10528873,289.26419,47.72261,8026,3.723,3.209,
10529091,289.36554,47.743488,8090,3.72,3.292,
10532771,290.88077,47.79174,8014,3.694,3.398,
10533233,291.07751,47.734119,9801,4.112,2.248,
10533616,291.25381,47.797161,8540,3.799,3.211,
10536326,292.37003,47.71999,7511,3.574,3.867,
10537528,292.87595,47.736771,8120,3.929,2.571,
10537907,293.03412,47.708,7693,3.588,3.751,
10538299,293.19778,47.775742,8141,4.103,2.014,
10548172,296.73102,47.727959,8141,4.103,2.014,
10549292,297.04398,47.759258,7945,3.959,2.37,
10549480,297.09665,47.74818,8192,4.195,1.639,
10549576,297.11826,47.741611,7675,4.051,2.015,
10551350,297.62082,47.773029,9377,4.183,1.98,
10553384,298.19482,47.74218,8129,4.117,2.014,
10556840,299.17105,47.716869,7677,3.727,3.141,
10579536,281.64124,47.852261,9677,4.136,2.156,
10580834,282.40167,47.818691,7594,3.601,3.754,
10586045,285.33026,47.851929,9105,4.171,1.791,
10590857,287.91061,47.895908,7773,3.75,3.036,
10593239,289.05045,47.820969,8476,3.792,2.964,
10600540,292.07913,47.811008,8406,3.777,3.034,
10604429,293.65192,47.837231,7841,3.556,4.313,
10612854,296.55408,47.84343,8313,3.766,3.079,
10616124,297.52362,47.80547,7816,3.946,2.31,
10616138,297.52945,47.806492,7582,3.74,3.003,
10619142,298.38052,47.836048,9206,4.112,2.157,
10620329,298.70923,47.840019,8491,3.853,2.622,
10651961,285.44437,47.94836,8139,3.952,2.491,
10658802,289.01251,47.957512,7700,4.178,1.71,
10659654,289.37973,47.970024,8982,4.111,2.123,
10661783,290.2984,47.978619,8117,3.724,3.237,
10664703,291.51031,47.98164,7868,3.683,3.433,
10664975,291.61871,47.96991,8169,3.699,3.284,
10668233,292.90598,47.984119,7744,4.018,2.186,
10669325,293.35703,47.939629,8383,4.061,2.174,
10669511,293.43695,47.930019,8273,3.95,2.526,
10678547,296.64993,47.965912,8089,3.757,3.299,
10679429,296.90961,47.96373,7587,4.161,1.751,
10679607,296.96729,47.960678,7846,4.083,1.988,
10684587,298.40277,47.99807,7530,3.774,3.022,
10685044,298.53329,47.98727,9748,4.222,1.928,
10685175,298.57156,47.963951,8709,4.232,1.797,
10685653,298.70959,47.928638,7996,4.048,2.096,
10686876,299.05673,47.909359,8143,3.96,2.361,
10721930,287.97934,48.030159,8525,3.71,3.656,
10723618,288.73862,48.097511,8072,3.717,3.269,
10727668,290.43994,48.045101,9696,4.033,2.492,
10727717,290.46381,48.062119,7848,3.759,3.002,
10729645,291.22046,48.034691,8195,3.803,3.109,
10730838,291.71603,48.012741,8057,3.946,2.407,
10732638,292.41284,48.0485,7717,3.893,2.675,
10734202,293.05121,48.06575,8081,4.217,1.711,
10734425,293.13971,48.02459,9591,3.808,3.411,
10734935,293.34821,48.09304,7883,3.688,3.395,
10735564,293.57437,48.007439,8285,3.971,2.451,
10736223,293.84622,48.050251,8011,3.773,2.927,
10741920,295.85007,48.008091,8048,3.725,3.251,
10747093,297.37073,48.032619,7586,4.198,1.649,
10748602,297.7681,48.025837,7543,3.958,2.4,
10751494,298.51474,48.081051,7861,3.838,2.875,
10751733,298.56976,48.09444,7568,4.135,1.826,
10753337,298.97302,48.052261,8287,3.981,2.416,
10775472,281.05673,48.166069,8321,3.808,2.849,
10775968,281.31488,48.115719,7716,3.83,2.808,
10777903,282.41843,48.120541,7535,3.562,4.174,
10779831,283.4516,48.18771,9048,4.066,2.358,
10783150,285.33649,48.141918,7571,3.943,2.337,
10788451,288.15753,48.13763,8951,3.834,2.796,
10789273,288.51627,48.199612,8572,3.776,3.034,
10789864,288.78076,48.105251,9063,3.84,3.143,
10790706,289.16473,48.146511,7792,4.133,1.684,
10801495,293.5773,48.184769,9176,3.929,2.786,
10802820,294.07358,48.106602,7694,3.979,2.224,
10803371,294.26001,48.178188,7557,3.65,3.562,
10810140,296.63028,48.119179,8319,3.735,3.219,
10811040,296.87723,48.179649,8540,3.909,2.735,
10811481,297.00027,48.172489,7596,4.061,2.05,
10811753,297.07751,48.131111,7912,3.765,2.956,
10813970,297.69675,48.171459,7671,3.609,3.177,
10814711,297.91214,48.129532,9164,3.865,2.679,
10814863,297.95343,48.171841,8283,3.757,3.123,
10815203,298.04678,48.151993,9001,4.046,2.374,
10815466,298.11929,48.17445,8527,3.86,2.593,
10815604,298.15317,48.106159,9030,3.822,3.218,
10816270,298.3382,48.141891,9412,4.027,2.463,
10816278,298.34012,48.101089,8128,3.843,2.917,
10816401,298.37476,48.14603,9464,4.116,2.184,
10817581,298.7001,48.182571,8596,3.793,2.968,
10817600,298.70694,48.10091,8237,3.753,3.134,
10817620,298.71136,48.134491,8239,3.816,2.766,
10818544,298.96341,48.133179,9587,4.081,2.313,
10847721,285.13657,48.257301,8914,3.896,2.867,
10853783,288.3775,48.205879,8064,3.854,2.696,
10855535,289.21185,48.20314,7753,4.078,1.885,
10857342,290.01151,48.244202,8796,3.711,3.278,
10861591,291.96384,48.296242,7935,3.989,2.276,
10862889,292.53455,48.225128,8665,3.787,2.985,
10873947,296.6131,48.258511,7559,4.078,1.886,
10875016,296.96298,48.28447,7910,4.132,1.896,
10875239,297.0271,48.214581,7568,4.212,1.612,
10879812,298.45215,48.290039,8296,4.089,1.979,
10880337,298.6124,48.20792,8761,4.001,2.438,
10903251,281.78448,48.348171,8383,4.101,1.945,
10905804,283.66922,48.334221,8209,3.75,3.143,
10905824,283.68591,48.34021,9354,4.061,2.339,
10907298,284.73624,48.389561,7685,3.672,3.508,
10909733,286.24362,48.355309,8529,4.066,2.183,
10910310,286.6395,48.38517,8679,3.874,2.909,
10920447,292.02066,48.307671,8098,4.013,2.199,
10921894,292.71021,48.308571,7542,4.036,1.999,
10925227,294.17566,48.328979,8633,4.117,2.163,
10931805,296.68417,48.300529,7945,4.034,2.137,
10934556,297.62677,48.35923,8203,4.162,1.903,
10934755,297.70755,48.337688,7848,3.991,2.184,
10936043,298.21155,48.307468,8145,3.78,3.201,
10936474,298.36008,48.361408,7504,4.021,2.102,
10959320,282.07675,48.481701,9824,3.75,3.771,
10962943,284.69705,48.442162,8262,3.741,3.168,
10963452,285.06833,48.468128,8675,4.08,2.168,
10971633,289.77087,48.4646,9189,3.952,2.698,
10974032,291.04123,48.427959,9264,3.679,3.578,
10974303,291.1763,48.496761,9878,3.771,3.67,
10974769,291.4162,48.444271,8763,3.973,2.537,
10975247,291.64322,48.487461,7996,3.856,2.54,
10977751,292.85349,48.487579,8669,3.765,3.406,
10977859,292.90829,48.44252,8180,3.611,4.034,
10982373,294.90292,48.477211,9453,3.832,3.407,
10982905,295.13458,48.456532,9444,3.99,2.603,
10988009,297.03433,48.460491,7550,3.971,2.094,
10988070,297.05777,48.456161,9464,4.116,2.184,
10989032,297.39349,48.410751,8851,4.085,2.178,
10990083,297.7919,48.493641,7710,3.733,3.114,
10990092,297.79605,48.42654,8130,3.731,3.239,
10990157,297.82227,48.43169,9541,4.096,2.259,
10990452,297.93985,48.442879,7585,4.022,2.1,
10990961,298.1282,48.433411,8105,4.174,1.817,
10991769,298.44287,48.412769,8641,4.094,2.118,
10992940,298.87531,48.404289,7877,3.96,2.371,
11014921,283.1994,48.58987,9417,4.177,2.001,
11021188,287.31488,48.560799,7547,4.195,1.582,
11027729,290.90796,48.524181,7903,4.134,1.739,
11027806,290.94797,48.52446,9155,3.405,5.396,
11031512,292.75693,48.530811,7643,3.561,3.838,
11031728,292.85037,48.531422,7751,4.061,2.068,
11032600,293.25391,48.504139,7717,3.67,3.472,
11032670,293.28448,48.5611,8211,3.724,3.271,
