kepler_id,ra,dec,Teff,logg,Radius
2574338,291.13849,37.859299,6320,4.347,1.252
2574366,291.14456,37.828407,6150,4.274,1.24
2574421,291.15833,37.8694,6415,4.215,1.309
2575301,291.35229,37.812752,6327,4.285,1.337
2575341,291.36102,37.83099,6282,4.269,1.253
2575404,291.37415,37.85503,6311,4.398,1.172
2575874,291.47379,37.843739,6746,4.307,1.385
2576044,291.50955,37.82198,6377,4.398,1.158
2576197,291.54099,37.816559,6521,4.352,1.276
2576623,291.63043,37.828037,6498,4.287,1.222
2577533,291.8183,37.865952,6674,4.345,1.286
2577554,291.82339,37.831902,6176,4.39,1.184
2577900,291.89407,37.867668,6541,4.306,1.279
2577963,291.90417,37.863602,6304,4.343,1.181
2578242,291.96191,37.836491,6457,4.358,1.254
2578270,291.96939,37.835461,6492,4.378,1.206
2579807,292.29791,37.876839,6568,4.36,1.211
2580645,292.47852,37.872879,6093,4.12,1.322
2581316,292.62747,37.860142,6259,4.385,1.167
2581485,292.67349,37.854038,6270,4.261,1.269
2582015,292.7894,37.848621,6761,4.334,1.27
2582038,292.79453,37.813881,6545,4.355,1.223
2583204,293.047,37.809738,6353,4.321,1.161
2583682,293.14856,37.881889,6237,4.246,1.314
2583715,293.15631,37.805641,6116,4.24,1.288
2583777,293.16727,37.841389,6032,4.147,1.365
2584296,293.28168,37.894489,6306,4.285,1.2
2584879,293.41382,37.812939,6392,4.233,1.281
2585092,293.4617,37.804039,6714,4.243,1.4
2585256,293.49612,37.849449,6194,4.305,1.218
2585635,293.57349,37.831982,6077,4.213,1.262
2585652,293.57855,37.849339,6006,4.346,1.185
2692838,285.81778,37.977711,6102,4.349,1.195
2694209,286.25043,37.91452,6133,4.327,1.165
2696687,287.0531,37.907269,6545,4.32,1.235
2706677,289.94006,37.976082,6589,4.297,1.294
2706738,289.95651,37.978802,6177,4.288,1.285
2706947,290.01038,37.925758,6771,4.279,1.286
2707434,290.12579,37.951691,6008,4.311,1.237
2708367,290.33887,37.995251,6129,4.352,1.187
2709654,290.65762,37.975689,6642,4.303,1.274
2710043,290.75143,37.959042,6032,4.394,1.172
2710180,290.78717,37.953941,6146,4.163,1.219
2710380,290.8338,37.996269,6086,4.251,1.357
2710896,290.96228,37.91584,6440,4.38,1.169
2711067,291.00269,37.957829,6625,4.378,1.165
2712415,291.29956,37.947842,6228,4.35,1.195
2712825,291.38812,37.990219,6335,4.214,1.401
2714143,291.67487,37.920731,6803,4.35,1.234
2714170,291.68103,37.954159,6525,4.381,1.161
2714398,291.72913,37.980968,6416,4.262,1.312
2714415,291.73389,37.987862,6519,4.364,1.203
2715108,291.90091,37.957378,6643,4.357,1.216
2715251,291.93097,37.948238,6151,4.26,1.215
2715375,291.96228,37.9646,6553,4.277,1.312
2716356,292.16537,37.948891,6392,4.399,1.162
2716575,292.20877,37.98204,6085,4.24,1.311
2717691,292.44034,37.9333,6418,4.395,1.171
2718004,292.51266,37.903309,6171,4.349,1.152
2718453,292.61264,37.940971,6319,4.218,1.396
2718542,292.63235,37.97052,6488,4.311,1.274
2718653,292.66193,37.968441,6442,4.388,1.183
2718658,292.66327,37.986729,6520,4.375,1.215
2718678,292.66772,37.98959,6095,4.205,1.337
2718915,292.72256,37.982311,6150,4.326,1.175
2719148,292.77136,37.932861,6618,4.251,1.357
2719477,292.8454,37.947891,6453,4.166,1.357
2719506,292.85074,37.900921,6185,4.173,1.284
2720403,293.04608,37.97253,6623,4.355,1.261
2720523,293.07333,37.905479,6081,4.257,1.217
2721540,293.29846,37.97998,6483,4.324,1.163
2721923,293.37613,37.9963,6311,4.398,1.172
2831447,285.62708,38.06432,6254,4.252,1.266
2831675,285.70236,38.026878,6188,4.293,1.201
2832346,285.9277,38.009201,6484,4.313,1.192
2833694,286.3403,38.006672,6602,4.354,1.223
2833758,286.35419,38.002178,6311,4.398,1.172
2834303,286.52655,38.066551,6235,4.321,1.194
2834350,286.54156,38.08342,6022,4.177,1.333
2834793,286.69818,38.029202,6225,4.183,1.375
2835289,286.85928,38.027481,6423,4.267,1.279
2835395,286.89545,38.035721,6344,4.327,1.173
2837595,287.58932,38.058022,6131,4.27,1.201
2837672,287.61896,38.09359,6391,4.388,1.154
2846154,289.99796,38.063541,6213,4.387,1.195
2847469,290.32639,38.09446,6052,4.212,1.237
2849864,290.89731,38.016735,6316,4.297,1.353
2850097,290.94785,38.022411,6664,4.374,1.175
2850506,291.04391,38.017109,6320,4.347,1.252
2851051,291.16174,38.003811,6418,4.395,1.171
2851618,291.27866,38.06599,6325,4.317,1.231
2851750,291.30518,38.088409,6578,4.237,1.376
2851787,291.31653,38.075199,6469,4.385,1.193
2852523,291.46097,38.012379,6392,4.399,1.162
2852641,291.48318,38.044849,6707,4.29,1.332
2853889,291.75128,38.034431,6437,4.273,1.31
2854042,291.78085,38.03059,6404,4.36,1.156
2854141,291.8046,38.02282,6042,4.271,1.243
2854618,291.90732,38.05093,6755,4.311,1.298
