kepler_id,ra,dec,Teff,logg,Radius
8107903,295.32925,43.97081,3421,5.009,0.272
8111203,296.31332,43.988651,3665,4.832,0.426
8112537,296.71024,43.990681,3673,4.691,0.56
8114225,297.14227,43.989368,3586,4.89,0.365
8119884,298.47748,43.910469,3349,5.005,0.253
8143903,281.56564,44.003731,3464,4.914,0.339
8144291,281.83557,44.04932,3419,4.949,0.303
8149616,284.76953,44.03952,3332,4.987,0.265
8150479,285.24652,44.00528,3447,4.896,0.354
8151009,285.53043,44.021881,3661,4.806,0.448
8153154,286.68872,44.002239,3645,4.823,0.437
8154114,287.19107,44.041885,3112,5.149,0.163
8155169,287.70331,44.045811,3500,4.897,0.358
8158579,289.29376,44.097321,3636,4.849,0.41
8161403,290.27301,44.078793,3402,5.053,0.225
8161536,290.31522,44.070267,2884,5.228,0.131
8167223,292.35721,44.002811,3563,4.888,0.368
8181813,296.99283,44.095116,2661,5.283,0.116
8183277,297.34531,44.062759,3598,5.098,0.214
8183594,297.42136,44.001541,3439,4.901,0.347
8189555,298.86765,44.082401,3679,4.817,0.447
8191404,299.3273,44.051731,3448,4.924,0.327
8197652,301.0047,44.08168,3694,4.686,0.566
8210323,280.73752,44.194221,3652,4.839,0.42
8212592,282.18747,44.192478,3697,4.763,0.487
8213019,282.40622,44.100578,3683,4.688,0.563
8217295,284.53738,44.193642,3439,4.901,0.347
8218687,285.3092,44.191341,3608,4.835,0.422
8221528,286.91238,44.1021,3301,5.018,0.242
8222407,287.37711,44.139938,3638,4.829,0.432
8222581,287.47604,44.10004,3217,5.144,0.171
8226440,289.37054,44.162621,3514,4.907,0.358
8227661,289.84772,44.185783,2661,5.283,0.116
8229044,290.28967,44.188728,2661,5.283,0.116
8229263,290.36407,44.183285,3343,5.101,0.196
8233795,291.97125,44.105042,3661,4.806,0.448
8233951,292.0322,44.189548,3228,5.11,0.185
8235654,292.67319,44.12809,3563,4.853,0.398
8241781,294.75793,44.128738,3428,4.973,0.301
8242064,294.84778,44.191608,3487,4.908,0.348
8245390,295.90167,44.177319,3345,5.014,0.249
8247428,296.50552,44.148556,2661,5.283,0.116
8248415,296.78625,44.145641,3543,4.918,0.34
8249066,296.97113,44.111778,2661,5.283,0.116
8256040,298.6752,44.144939,3604,4.773,0.482
8258370,299.2782,44.147652,3665,4.871,0.384
8278444,281.82108,44.27998,3601,5.002,0.29
8278973,282.13611,44.212078,3344,5.012,0.249
8279274,282.32739,44.295261,3498,4.896,0.357
8279492,282.45129,44.272797,2661,5.283,0.116
8280113,282.79688,44.238819,3569,4.82,0.427
8283487,284.5592,44.204151,3598,4.804,0.442
8284382,285.08923,44.279442,3207,5.148,0.168
8284959,285.39658,44.245399,3502,4.925,0.334
8289460,287.74866,44.246021,3433,4.977,0.302
8289464,287.74954,44.249649,3548,4.869,0.384
8292445,289.1795,44.24213,3677,4.787,0.459
8292510,289.21078,44.291409,3540,4.836,0.411
8293258,289.49933,44.253731,3628,4.842,0.41
8293417,289.55954,44.210258,3698,4.775,0.47
8297307,290.90378,44.204845,3607,4.93,0.342
8297629,291.0192,44.28231,3530,4.876,0.376
8299093,291.56708,44.299,3415,4.953,0.3
8302467,292.8656,44.210812,3694,4.686,0.566
8302555,292.89917,44.202801,3410,4.921,0.326
8309936,295.39825,44.24622,3307,5.047,0.224
8310086,295.44443,44.246769,3531,4.926,0.331
8344757,281.78775,44.317696,3184,5.117,0.181
8345627,282.27225,44.312778,3530,4.843,0.405
8351704,285.62854,44.31089,3569,4.861,0.389
8362005,290.50943,44.342079,3422,4.914,0.334
8365200,291.68579,44.314121,3514,4.888,0.365
8370394,293.60486,44.392769,3319,4.999,0.255
8373723,294.74518,44.315529,3374,4.984,0.271
8375488,295.30988,44.311729,3616,4.873,0.382
8377279,295.87909,44.32795,3498,4.896,0.357
8377909,296.07773,44.361069,3451,5.039,0.249
8382212,297.26193,44.338959,3598,4.884,0.371
8387621,298.61801,44.345196,2974,5.2,0.14
8387903,298.68756,44.302109,3552,4.867,0.387
8388857,298.92053,44.36158,3569,4.877,0.378
8388971,298.95474,44.397179,3692,4.803,0.444
8393988,300.28003,44.343849,3275,5.049,0.221
8397325,301.35809,44.304508,3537,4.921,0.336
8408875,280.98773,44.440067,2923,5.217,0.135
8409502,281.4437,44.45089,3419,4.949,0.303
8409924,281.73657,44.488171,3217,5.144,0.171
8410234,281.9122,44.446369,3402,4.927,0.32
8414123,284.09857,44.435162,3650,4.777,0.468
8414250,284.17709,44.426842,3212,5.289,0.122
8416220,285.24026,44.474419,3232,5.102,0.19
8416395,285.34756,44.490479,3606,4.877,0.389
8417053,285.68817,44.483551,3635,4.912,0.359
8418317,286.37161,44.467571,3628,4.842,0.41
8421018,287.80685,44.461048,3661,4.84,0.421
8421129,287.86316,44.40477,3360,4.961,0.287
8423373,288.9787,44.493351,3455,4.919,0.332
8424002,289.27451,44.470322,3419,4.904,0.344
8426659,290.27881,44.48196,3679,4.817,0.436
8428178,290.86075,44.447559,3694,4.686,0.566
8428347,290.9162,44.42548,3463,4.996,0.279
8444017,296.44464,44.41605,3483,4.905,0.349
8452193,298.55014,44.497478,3673,4.691,0.56
8454353,299.09958,44.491638,3514,4.888,0.365
8455430,299.37933,44.480469,3516,5.006,0.27
8474323,281.3826,44.545631,3638,4.885,0.37
8475411,282.08383,44.59256,3625,4.789,0.456
8475756,282.28922,44.575932,3680,4.784,0.461
8476114,282.49731,44.571041,3597,4.849,0.411
8483557,286.71301,44.584839,3546,4.867,0.386
8487692,288.87799,44.54023,3546,4.867,0.386
8488938,289.43158,44.511471,3312,5.119,0.185
8489264,289.57794,44.59539,3306,5.013,0.245
8493421,291.12466,44.564499,2661,5.283,0.116
8495528,291.92819,44.55407,3672,4.829,0.429
8496410,292.30295,44.569801,3443,5.014,0.263
8500364,293.81851,44.540791,3315,5.004,0.252
8505930,295.6658,44.596119,3651,4.837,0.42
8506031,295.70175,44.508915,2661,5.283,0.116
8506486,295.85562,44.567699,3489,4.868,0.379
8507979,296.30948,44.574871,3673,4.691,0.56
8524452,300.64771,44.528782,3629,4.788,0.458
8525400,300.94406,44.545231,3484,4.927,0.327
8526622,301.4429,44.531494,3077,5.163,0.156
8539041,281.56027,44.648331,3546,4.867,0.386
8539673,281.95959,44.624069,3537,4.947,0.326
8544002,284.31812,44.67223,3459,5.033,0.253
8544280,284.46158,44.601822,3352,4.969,0.28
8544723,284.68713,44.683521,3631,4.803,0.453
8544884,284.77155,44.645691,3573,4.896,0.372
8546136,285.50912,44.675129,3629,4.846,0.412
8546714,285.83588,44.685612,3424,4.942,0.308
8548052,286.58084,44.67791,3291,5.023,0.237
8552941,289.07657,44.602329,3352,4.969,0.28
8553152,289.17468,44.629009,3485,4.954,0.319
8557567,290.88669,44.645977,2661,5.283,0.116
8560092,291.81989,44.633179,3315,5.004,0.252
8560763,292.09882,44.611389,3583,4.98,0.305
8561063,292.21906,44.61916,3292,5.215,0.148
8561706,292.50223,44.670269,3661,4.806,0.448
8563995,293.42038,44.637699,3421,5.009,0.272
8564198,293.49258,44.677063,2661,5.283,0.116
8565204,293.86096,44.621761,3435,4.933,0.318
8565914,294.11078,44.62455,3451,5.039,0.249
8573327,296.55173,44.639439,3150,5.132,0.172
8581480,298.63721,44.676441,3410,4.986,0.273
8584844,299.51627,44.636108,3530,4.843,0.405
8604803,282.12708,44.773338,3288,5.033,0.231
8607535,283.62231,44.73357,3352,4.969,0.28
8607728,283.74136,44.793072,3351,5.099,0.197
8609288,284.60272,44.74773,3434,4.905,0.344
8611599,285.90796,44.715622,2661,5.283,0.116
8611876,286.04446,44.71751,3288,5.033,0.231
8612060,286.1521,44.749371,3489,4.868,0.379
