kepler_id,RA,Dec,Teff,logg,Radius,Prot
2166371,292.77136,37.579079,5942,4.506,0.938,
2166515,292.79916,37.52816,5997,4.483,0.993,
2166534,292.80249,37.577911,5110,4.386,0.996,
2166579,292.81052,37.576569,5670,4.391,0.973,
2166632,292.8269,37.542549,5846,4.314,1.131,
2166860,292.8735,37.53056,5562,4.434,0.911,
2166915,292.88477,37.584621,5629,4.391,1.036,
2166973,292.90109,37.507511,5602,4.279,1.131,
2167439,292.99857,37.590988,5776,4.364,1.085,
2167920,293.10025,37.518742,5343,4.432,0.906,
2282854,285.93591,37.69379,5681,4.371,1.096,
2283229,286.06949,37.628231,5960,4.493,0.927,
2283496,286.15558,37.667,5530,4.441,0.911,
2283540,286.16983,37.652355,5541,4.372,1.009,
2283682,286.21298,37.640896,5823,4.259,1.117,
2283989,286.31314,37.61039,5948,4.329,1.088,
2284829,286.578,37.659088,5560,4.389,0.942,
2284887,286.59283,37.620411,5967,4.398,1.034,
2284957,286.61917,37.62624,5979,4.379,0.975,
2284964,286.6225,37.64365,5988,4.465,0.945,
2285040,286.65039,37.650188,5941,4.405,0.982,
2285208,286.70627,37.69648,5957,4.444,0.997,
2285621,286.84964,37.659538,5582,4.326,1.118,
2285993,286.9744,37.699871,5895,4.401,0.937,
2297468,290.20486,37.632149,5821,4.477,0.952,
2297896,290.28476,37.656212,5717,4.518,0.922,
2298081,290.32388,37.682419,5262,4.41,0.951,
2298305,290.37357,37.66848,5691,4.28,1.15,
2298475,290.41068,37.662811,5926,4.506,0.939,
2298581,290.43475,37.661541,5523,4.398,0.936,
2299979,290.77655,37.613331,5899,4.467,0.92,
2300105,290.80328,37.652168,5780,4.438,1,
2300128,290.80728,37.62104,5865,4.404,1.052,
2300298,290.84784,37.66338,5704,4.454,0.928,
2300402,290.86884,37.60976,5697,4.433,0.931,
2300795,290.96396,37.619858,5754,4.514,0.943,
2300835,290.97165,37.675018,5900,4.509,0.951,
2301074,291.02777,37.68882,5696,4.344,1.072,
2301143,291.04327,37.614971,5880,4.518,0.917,
2301169,291.04935,37.61565,5900,4.509,0.951,
2301367,291.09473,37.62204,5825,4.516,0.923,
2301409,291.10486,37.618889,5838,4.491,0.92,
2301785,291.19324,37.648449,5767,4.346,1.004,
2302135,291.27185,37.622391,5970,4.521,0.908,
2302288,291.30945,37.66349,5904,4.447,1.008,
2302665,291.38745,37.688431,5911,4.519,0.914,
2302741,291.40021,37.64782,5957,4.498,0.971,
2302758,291.40289,37.676689,5875,4.476,0.998,
2302787,291.40897,37.683578,5650,4.432,0.988,
2303011,291.45877,37.61908,5556,4.332,1.072,
2303169,291.49042,37.69281,5906,4.471,0.936,
2303245,291.50388,37.66597,5831,4.517,0.921,
2303279,291.51138,37.677139,5936,4.501,0.965,
2303459,291.55829,37.696732,5778,4.531,0.911,
2303576,291.57892,37.637592,5780,4.438,1,
2303694,291.60101,37.620628,5511,4.397,0.938,
2304251,291.72198,37.651218,5873,4.341,1.114,
2304375,291.75354,37.63916,5884,4.419,1.023,
2304695,291.82877,37.600315,5780,4.438,1,
2304943,291.89084,37.648544,5780,4.438,1,
2304956,291.89392,37.61245,5620,4.363,0.974,
2304989,291.90158,37.635979,5385,4.396,0.958,
2305255,291.96451,37.60878,5977,4.462,0.956,
2305596,292.03821,37.615318,5836,4.5,0.97,
2305698,292.05707,37.67152,5573,4.432,0.948,
2306410,292.20432,37.667969,5911,4.308,1.029,
2306531,292.22928,37.659031,5989,4.362,1.099,
2306621,292.24567,37.63718,5911,4.46,0.94,
2306929,292.31046,37.66338,5653,4.52,0.92,
2306975,292.32166,37.604591,5659,4.486,0.932,
2306998,292.32736,37.661129,5548,4.469,0.924,
2307364,292.4075,37.69706,5761,4.4,0.938,
2307498,292.44241,37.662312,5667,4.422,0.987,
2308725,292.70462,37.618839,5895,4.489,0.991,
2308761,292.71338,37.695129,5780,4.438,1,
2308973,292.75659,37.63485,5632,4.324,1.089,
2308980,292.75827,37.69244,5757,4.436,0.998,
2309173,292.80194,37.647911,5716,4.492,0.983,
2309318,292.83578,37.621689,5177,4.388,0.99,
2309548,292.89038,37.64389,5866,4.516,0.917,
2309604,292.9035,37.618629,5957,4.498,0.971,
2309625,292.9079,37.67585,5759,4.265,1.094,
2310098,293.01831,37.69471,5706,4.525,0.926,
2310716,293.15619,37.627831,5671,4.501,0.955,
2310770,293.16977,37.618301,5653,4.52,0.92,
2310795,293.17422,37.64135,5529,4.454,0.91,
2310881,293.19211,37.605782,5713,4.473,0.944,
2311202,293.26465,37.633572,5999,4.494,0.959,
