kepler_id,ra,dec,Teff,logg,Radius
2572490,290.71561,37.805672,4941,4.462,0.884
2573120,290.86462,37.865231,5061,4.619,0.724
2574247,291.11862,37.814812,5166,4.511,0.878
2574326,291.13654,37.849682,5099,4.407,0.964
2575836,291.46524,37.853458,5148,4.599,0.76
2577056,291.72195,37.887531,4530,4.577,0.715
2577892,291.8916,37.89431,4878,4.495,0.841
2577992,291.91019,37.803391,4862,4.481,0.857
2578300,291.97665,37.821289,4785,4.508,0.822
2578519,292.01999,37.85107,5138,4.626,0.709
2579041,292.13519,37.868488,4584,4.567,0.732
2579762,292.28897,37.88493,5127,4.439,0.916
2580589,292.46323,37.822659,5022,4.607,0.739
2581101,292.58142,37.853321,5186,4.476,0.851
2581554,292.69028,37.83498,4975,4.579,0.734
2582572,292.89835,37.82476,4959,4.615,0.707
2584805,293.39908,37.81459,5028,4.59,0.708
2585484,293.54245,37.80341,4776,4.516,0.811
2585676,293.58203,37.812149,4901,4.549,0.79
2692088,285.56094,37.994991,4986,4.623,0.715
2692200,285.59735,37.962009,5035,4.519,0.791
2692271,285.62399,37.966702,5054,4.599,0.773
2692866,285.82745,37.9151,4929,4.463,0.883
2693585,286.07138,37.945572,5126,4.601,0.758
2693736,286.11536,37.966999,5094,4.469,0.87
2695018,286.49585,37.946831,4985,4.537,0.775
2695106,286.52328,37.911152,5035,4.58,0.755
2696381,286.95313,37.916203,4998,4.55,0.769
2697813,287.42639,37.992481,4972,4.502,0.824
2707448,290.1286,37.929279,4747,4.571,0.718
2707504,290.14157,37.900471,5135,4.558,0.779
2708221,290.30371,37.924191,4883,4.523,0.794
2709476,290.61264,37.93409,4934,4.549,0.747
2709731,290.67746,37.909809,4297,4.587,0.708
2710447,290.85037,37.966679,4986,4.496,0.833
2711088,291.0087,37.989929,5145,4.501,0.85
2711131,291.01727,37.975368,4973,4.603,0.754
2711354,291.07199,37.973042,4957,4.563,0.727
2711597,291.12454,37.986511,4861,4.572,0.722
2712795,291.38177,37.948212,4994,4.593,0.766
2713163,291.46527,37.957039,4861,4.543,0.776
2713215,291.47864,37.936131,4962,4.536,0.767
2713427,291.52457,37.951561,5191,4.597,0.764
2714431,291.73822,37.975658,4769,4.557,0.742
2714725,291.80862,37.91647,5142,4.515,0.789
2715495,291.98807,37.900459,4706,4.565,0.732
2715695,292.03348,37.974548,4791,4.577,0.742
2716319,292.1554,37.937279,4852,4.519,0.804
2717009,292.3024,37.906422,4829,4.516,0.81
2717499,292.3978,37.995529,5108,4.579,0.726
2718866,292.71234,37.995918,5138,4.536,0.756
2719353,292.81238,37.97377,4833,4.55,0.757
2719735,292.89951,37.975731,4863,4.579,0.764
2720230,293.0087,37.950298,5171,4.51,0.838
2721353,293.25842,37.915279,4763,4.544,0.768
2722674,293.5264,37.97739,4774,4.549,0.756
2722737,293.53677,37.90815,5086,4.614,0.732
2830918,285.47534,38.04451,5149,4.518,0.789
2831217,285.55988,38.059219,5010,4.549,0.774
2831837,285.75845,38.056728,5066,4.455,0.894
2832433,285.95792,38.026669,4879,4.558,0.735
2832741,286.05563,38.017109,4596,4.568,0.735
2833962,286.41617,38.001492,4910,4.625,0.705
2834012,286.43283,38.026218,5036,4.549,0.741
2834975,286.75949,38.074928,5051,4.487,0.844
2835258,286.85043,38.09029,5093,4.561,0.721
2835787,287.02377,38.084919,5021,4.583,0.722
2845477,289.82675,38.04887,4912,4.592,0.781
2845525,289.83951,38.096512,5152,4.517,0.786
2845526,289.83963,38.056461,5167,4.567,0.71
2845757,289.90015,38.03228,4902,4.571,0.747
2846170,290.00162,38.07597,5057,4.573,0.704
2846231,290.01459,38.048409,5199,4.531,0.799
2846491,290.07248,38.04071,4825,4.54,0.769
2847416,290.31326,38.09631,5185,4.435,0.931
2847757,290.40347,38.041481,4802,4.582,0.701
2848288,290.52917,38.0686,4952,4.543,0.756
2848655,290.61249,38.02766,4981,4.506,0.862
2848737,290.6311,38.009048,5147,4.497,0.819
2848999,290.69772,38.016472,5151,4.602,0.761
2850117,290.95053,38.013481,5082,4.611,0.735
2850139,290.95541,38.017399,5150,4.628,0.71
2850524,291.04816,38.034889,4889,4.57,0.715
2850727,291.09546,38.009781,5067,4.565,0.715
2851100,291.17068,38.008591,4768,4.628,0.711
2852761,291.50345,38.03685,5017,4.516,0.797
2852798,291.51227,38.010799,4930,4.62,0.72
2852942,291.54361,38.05872,5124,4.591,0.754
2854126,291.80078,38.064411,4952,4.572,0.71
2854839,291.95761,38.070049,4955,4.561,0.751
2855022,291.99921,38.007542,5113,4.609,0.743
2855572,292.10513,38.001579,5122,4.486,0.839
2856272,292.24109,38.046928,5045,4.521,0.79
2856503,292.29242,38.071812,4995,4.584,0.801
2856902,292.36884,38.072578,5052,4.521,0.786
2856960,292.38132,38.076649,4907,4.582,0.727
2858241,292.65631,38.03772,4806,4.504,0.828
2858713,292.76257,38.087219,4983,4.558,0.73
2858741,292.7688,38.072979,4971,4.566,0.718
2858888,292.79941,38.02956,5057,4.573,0.704
2858922,292.8067,38.041592,5149,4.547,0.754
2859016,292.8255,38.07959,4738,4.589,0.712
2859019,292.82562,38.063911,5185,4.6,0.762
2860135,293.07138,38.039421,5054,4.599,0.773
2860324,293.11163,38.08033,5190,4.493,0.821
2860713,293.18808,38.044842,5177,4.511,0.795
2860730,293.19131,38.032871,5049,4.625,0.711
2860992,293.25381,38.037029,5155,4.553,0.733
2865061,294.09576,38.061829,5121,4.533,0.762
2865164,294.11664,38.06448,5058,4.589,0.779
2865318,294.14731,38.062191,4539,4.568,0.735
2971095,286.211,38.190144,5071,4.505,0.811
2972492,286.67749,38.104439,4515,4.578,0.723
2974935,287.46881,38.153629,5035,4.589,0.8
2975340,287.60178,38.19257,4835,4.532,0.782
2975770,287.73755,38.114559,4855,4.542,0.778
2983215,289.89392,38.14386,5085,4.525,0.793
2984105,290.10175,38.178459,4829,4.516,0.81
2984308,290.14685,38.1469,5096,4.429,0.932
2984362,290.15948,38.11713,4898,4.552,0.744
2984409,290.17371,38.149609,5029,4.539,0.759
2984626,290.22879,38.103539,4889,4.509,0.818
2984717,290.2576,38.133091,5109,4.564,0.715
2985277,290.40375,38.117458,4492,4.581,0.716
2985366,290.42795,38.177509,4409,4.572,0.729
2986071,290.59976,38.109791,4963,4.501,0.826
2986883,290.79504,38.198479,5032,4.529,0.775
2987027,290.83313,38.184349,4941,4.599,0.738
2987548,290.96216,38.177689,4989,4.489,0.844
2988527,291.1875,38.131321,4934,4.551,0.766
2989322,291.36264,38.168491,5173,4.521,0.799
2991321,291.79752,38.135342,4999,4.565,0.805
2992768,292.11398,38.157242,4889,4.57,0.715
2993013,292.16718,38.195549,4911,4.529,0.783
2993662,292.31064,38.122711,4825,4.49,0.845
2993984,292.37579,38.132351,5137,4.616,0.728
2994064,292.39594,38.116829,5149,4.592,0.778
2994746,292.54395,38.155651,4594,4.557,0.752
2995169,292.63831,38.131191,5136,4.533,0.829
2995898,292.78873,38.178001,4873,4.507,0.822
2996903,293.01413,38.178059,4797,4.543,0.764
2996950,293.02606,38.18816,5169,4.607,0.749
2997405,293.12079,38.18663,4805,4.535,0.779
2998272,293.29437,38.189129,4717,4.567,0.732
3001955,294.0845,38.156319,4833,4.612,0.725
3002666,294.21884,38.155029,5184,4.532,0.78
3003231,294.32748,38.147839,4891,4.476,0.865
3096995,285.55035,38.219677,4989,4.504,0.819
3097575,285.77692,38.246979,4842,4.561,0.732
3097797,285.86353,38.243511,5120,4.554,0.737
3097926,285.90848,38.212719,5062,4.481,0.853
3098623,286.15509,38.287529,5075,4.616,0.727
3100570,286.84375,38.238308,5111,4.593,0.739
3101129,287.02847,38.223209,4483,4.552,0.756
3102164,287.40469,38.202801,4840,4.617,0.706
3102392,287.48007,38.2145,5141,4.505,0.806
3102715,287.59689,38.263222,4868,4.623,0.705
3103398,287.81232,38.249802,5028,4.492,0.836
3110684,289.96744,38.254929,4433,4.62,0.701
3111017,290.04831,38.21693,4892,4.58,0.721
3111555,290.17966,38.24012,5115,4.511,0.798
3111902,290.27917,38.210178,5108,4.574,0.701
3113170,290.61319,38.24826,5052,4.503,0.816
3113181,290.61697,38.214741,5051,4.487,0.844
3113704,290.74792,38.211788,4988,4.561,0.758
3114357,290.92133,38.20475,5180,4.597,0.769
3114896,291.05292,38.287041,4841,4.615,0.714
3114954,291.06619,38.229919,5157,4.448,0.905
3115296,291.14627,38.28793,5108,4.546,0.761
3115664,291.23959,38.250278,4922,4.557,0.735
3116289,291.39575,38.214432,4951,4.608,0.727
3117173,291.59546,38.282452,5187,4.602,0.756
